Country,Region
Tunisia,North Africa
Algeria,North Africa
Egypt,North Africa
Sudan,North Africa
South Sudan,North Africa
Morocco,North Africa
Mauritania,North Africa
Kenya,East Africa
Comoros,East Africa
Malawi,East Africa
Rwanda,East Africa
Madagascar,East Africa
United Republic of Tanzania,East Africa
Djibouti,East Africa
Zambia,East Africa
Uganda,East Africa
Mozambique,East Africa
Burundi,East Africa
Ethiopia,East Africa
Somalia,East Africa
Swaziland,Southern Africa
Zimbabwe,Southern Africa
Lesotho,Southern Africa
Namibia,Southern Africa
South Africa,Southern Africa
Ghana,West Africa
Togo,West Africa
Nigeria,West Africa
Senegal,West Africa
Cote d'Ivoire,West Africa
Guinea,West Africa
Gambia,West Africa
Mali,West Africa
Benin,West Africa
Guinea-Bissau,West Africa
Burkina Faso,West Africa
Sierra Leone,West Africa
Niger,West Africa
Liberia,West Africa
Gabon,Central Africa
Sao Tome and Principe,Central Africa
Cameroon,Central Africa
DRC,Central Africa
CAR,Central Africa
Chad,Central Africa
Republic of Congo,Central Africa
Saint Lucia,Central America
Mexico,Central America
Barbados,Central America
Jamaica,Central America
Ecuador,Central America
Belize,Central America
El Salvador,Central America
Nicaragua,Central America
Honduras,Central America
Dominican Republic,Central America
Guatemala,Central America
Haiti,Central America
Serbia,Eastern/Southeastern Europe
Macedonia,Eastern/Southeastern Europe
Montanegro,Eastern/Southeastern Europe
Bosnia,Eastern/Southeastern Europe
Albania,Eastern/Southeastern Europe
Moldova,Eastern/Southeastern Europe
Ukraine,Eastern/Southeastern Europe
Vietnam,Southeastern Asia
Cambodia,Southeastern Asia
Lao People's Democratic Republic,Southeastern Asia
Philippines,Southeastern Asia
Indonesia,Southeastern Asia
Myanmar,Southeastern Asia
Timor-Leste,Southeastern Asia
Thailand,Southeastern Asia
Kazakhstan,South Central/Central Asia
Turkmenistan,South Central/Central Asia
Tajikistan,South Central/Central Asia
Kyrgyzstan,South Central/Central Asia
Uzbekistan,South Central/Central Asia
Armenia,Western Asia
Palestine,Western Asia
Jordan,Western Asia
Azerbaijan,Western Asia
Syrian Arab Republic,Western Asia
Iraq,Western Asia
Yemen,Western Asia
China,East Asia
Mongolia,East Asia
Maldives,South Asia
Bhutan,South Asia
Nepal,South Asia
India,South Asia
Pakistan,South Asia
Bangladesh,South Asia
Afghanistan,South Asia
Guyana,South America
Suriname,South America
Colombia,South America
Peru,South America
Brazil,South America
Trinidad and Tobago,South America
Bolivia,South America
Vanuatu,Oceania
