Table 4.1 MPI results by rural and urban areas,,,,,,,,,,,,,,,,,,,,,,,,,
This table reports the MPI estimates for rural and urban areas. Table is sorted by country (alphabetically). Estimates can deviate from Table 1.1 due to missing values on rural or urban information. ,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Alkire, S., Kanagaratnam, U. and Suppa, N. (2018). ‘The Global Multidimensional Poverty Index (MPI): 2018 revision’, OPHI MPI Methodological Notes 46, Oxford Poverty and Human Development Initiative, University of Oxford.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"ISO
country numeric code","ISO
country code",Country,World region,MPI data source,,Area (rural/urban),MPI of the country,,Multidimensional poverty by rural or urban areas,,,,,,Total population by countryᵃ,,,,Population 2016 ,,,,"Indicators included 
in the MPI",,
,,,,,,,,,"Multidimensional Poverty Index
(MPI = H*A)","Headcount ratio: Population in multidimensional poverty
(H)","Intensity of deprivation among the poor
(A) ",Vulnerable to poverty (who experience 20-33.32% intensity of deprivations) ,In severe poverty (with intensity higher than 50%) ,,Year of the survey,Population 2015,Population 2016,,Population share by area,"Population size by 
area",Number of MPI poor by areaᵇ,,"Total number of indicators included 
(out of ten)",Indicator (s) missing,
,,,,Survey ,Year,,,,,,,,,,,,,,,,,,,,
,,,,,,,Range 0 to 1,,Range 0 to 1,% Population,Average % of weighted deprivations,% Population,% Population,,Thousands,Thousands,Thousands,,% Population,Thousands,Thousands,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
4,AFG,Afghanistan,South Asia,DHS,2015-2016,Urban,0.273,,0.096,21.49,44.62,21.04,7.32,,"34,656","33,736","34,656",,0.24,"8,320","1,788",,9,Nutrition,
4,AFG,Afghanistan,South Asia,DHS,2015-2016,Rural,0.273,,0.329,67.03,49.13,17.05,30.76,,"34,656","33,736","34,656",,0.76,"26,336","17,654",,9,Nutrition,
8,ALB,Albania,Europe and Central Asia,DHS,2008-2009,Urban,0.008,,0.003,0.86,39.62,3.67,0.05,,"2,963","2,923","2,926",,0.45,"1,318",11,,10,,
8,ALB,Albania,Europe and Central Asia,DHS,2008-2009,Rural,0.008,,0.011,3.00,37.39,10.28,0.24,,"2,963","2,923","2,926",,0.55,"1,608",48,,10,,
12,DZA,Algeria,Arab States,MICS,2012-2013,Urban,0.008,,0.004,1.23,36.58,3.83,0.07,,"38,339","39,872","40,606",,0.63,"25,700",315,,10,,
12,DZA,Algeria,Arab States,MICS,2012-2013,Rural,0.008,,0.015,3.65,40.09,9.46,0.64,,"38,339","39,872","40,606",,0.37,"14,906",544,,10,,
24,AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,Urban,0.283,,0.145,29.91,48.46,19.83,12.88,,"28,813","27,859","28,813",,0.64,"18,302","5,474",,10,,
24,AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,Rural,0.283,,0.523,88.17,59.27,7.94,66.54,,"28,813","27,859","28,813",,0.36,"10,512","9,268",,10,,
